loc,species,treatment,animal_id,SL,size,attraction,comment
LIRS 2014,Ambon,CO2,day 7 tank 6 fish 7,31.80421655,big,45.01834485,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 5 fish 1,30.05305578,big,38.93327901,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 5 fish 5,32.67979694,big,47.05717828,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 6 fish 1,27.42631463,big,42.7938491,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 1 fish 3,26.55073425,big,22.9659189,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 8 tank 7 fish 6,30.92863617,big,42.49522003,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 8 tank 3 fish 3,34.43095771,big,42.76350564,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 8 tank 3 fish 5,24.79957348,big,25.99489688,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 9 tank 2 fish 1,26.55073425,big,23.13498291,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 9 tank 2 fish 2,30.05305578,big,36.56541257,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 9 tank 2 fish 4,28.30189502,big,78.21749331,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 9 tank 2 fish 5,23.04841271,big,41.95917383,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 9 tank 4 fish 2,23.92399309,big,23.30438284,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 9 tank 4 fish 4,31.80421655,big,20.15959207,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 9 tank 4 fish 5,32.67979694,big,30.99428433,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,control,day 9 tank 4 fish 6,30.92863617,big,27.60597559,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 12 tank 3 fish 2,26.55073425,big,24.61099365,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 12 tank 3 fish 4,25.67515386,big,22.56260131,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 12 tank 3 fish 5,18.67051078,big,15.61787141,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 12 tank 4 fish 2,21.29725194,big,19.17801385,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 12 tank 4 fish 3,26.55073425,big,10.82803729,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 13 tank 7 fish 3,20.42167155,big,15.5160043,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 13 tank 7 fish 5,23.92399309,big,49.37088072,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 13 tank 8 fish 2,23.92399309,big,50.1403628,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 13 tank 8 fish 4,28.30189502,big,56.1227878,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,control,day 13 tank 8 fish 6,31.80421655,big,42.52439873,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 1 fish 1,26.55073425,big,23.33182655,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 1 fish 2,30.05305578,big,33.21197085,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 1 fish 4,21.29725194,big,12.6262129,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 1 fish 6,26.55073425,big,19.40038914,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 1 fish 7,26.55073425,big,21.16577448,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 2 fish 2,32.67979694,big,61.48495277,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 5 fish 2,33.55537732,big,42.81160389,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 5 fish 3,22.17283232,big,41.68885999,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 5 fish 4,16.04376963,big,41.43872029,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 5 fish 5,29.1774754,big,40.18344205,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 6 fish 1,28.30189502,big,41.29130234,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 6 fish 4,23.92399309,big,40.79658446,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Humbug,CO2,day 14 tank 6 fish 6,30.05305578,big,38.76624714,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2016,Acantho,control,54,16,big,31.14437824,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,53,16,big,49.76169592,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,59,16,big,11.78233004,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,58,15,big,52.2549817,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,68,16,big,41.10209981,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,74,32,big,48.11280383,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,73,35,big,83.68496048,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,79,18,big,21.308205,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,78,20,big,5.396595998,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,89,19,big,18.03342522,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,88,19,big,9.861938203,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,99,29,big,23.08590419,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,98,30,big,32.26594792,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,104,31,big,36.80967337,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,103,30,big,41.00434247,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,109,24,big,17.84097408,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,108,17,big,22.14730338,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,114,17.5,big,19.10858473,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,113,18,big,7.568272757,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,119,17,big,19.76807437,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,118,16,big,22.90788084,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,124,16,big,21.45598521,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,123,18,big,14.66261213,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,129,27,big,40.78188711,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,128,25,big,17.55732523,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,134,33,big,53.63031182,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,133,28,big,37.06852031,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,control,90,32,big,8.607477121,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,135,34,big,49.78532168,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,139,23,big,72.21107343,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,138,25,big,49.88214139,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,144,26,big,66.86710081,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,143,26,big,43.89765,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,148,15,big,42.30026046,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,154,15,big,19.57955106,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,153,15,big,28.32700528,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,159,15,big,19.39247235,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,158,15,big,34.11738489,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Acantho,CO2,164,15,big,26.4830558,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,199,18,big,11.39256581,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,198,18,big,18.35835834,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,204,22,big,24.20770794,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,203,17,big,29.78947058,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,209,17,big,21.63930359,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,214,24,big,18.14845014,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,213,26,big,43.58968513,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,219,15.5,big,22.69271447,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,218,17,big,46.73516561,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,223,16,big,39.38301634,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,229,17,big,30.42264759,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,228,16,big,16.46352761,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,234,18.5,big,11.12859917,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,233,19,big,34.42464063,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,239,16.5,big,25.93767431,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,238,17,big,30.34289188,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,244,19,big,27.76107604,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,243,20,big,41.20535536,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,249,23,big,43.14648029,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,248,22,big,35.52810879,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,253,25,big,39.75720405,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,160,34,big,36.91181505,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,200,35,big,24.87906708,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,205,33,big,9.454404034,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,210,33,big,11.10450084,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,215,32,big,24.38976382,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,225,35,big,12.3682374,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,230,32,big,34.52617635,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,240,31,big,36.38502566,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,245,32,big,16.36919496,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,250,34,big,22.76355149,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,259,21,big,22.20988703,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,264,16,big,31.09967708,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,263,18,big,25.83575897,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,269,18,big,19.88951518,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,268,19,big,29.02212583,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,274,15,big,29.15447721,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,273,22,big,41.5782045,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,279,15,big,35.40930314,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,278,17.5,big,36.82954449,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,260,34,big,48.2112288,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,265,34,big,24.81266883,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,270,29,big,27.02743306,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,275,34,big,28.14478588,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,280,35,big,25.39276691,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,285,35,big,38.12205619,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,289,24,big,51.10255645,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,288,22,big,44.04220166,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,294,27,big,36.07180346,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,293,25,big,46.38396202,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,299,17.5,big,50.94904479,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,298,22,big,30.7910636,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,304,18,big,46.41710363,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,303,22,big,21.38718133,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,309,20,big,30.23225816,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,308,23,big,44.92158887,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,313,23,big,48.61140638,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,319,28,big,40.11158759,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
